Start Station,DoWS,mean,Conf_L,Conf_H,landmark,dockcount,Recommendation,Adjust Low End,Adjust High End
2nd at Folsom,0,-13.1923076923,-2.157692307692308,1.9589743589743591,San Francisco,19.0,REBALANCE! Remove bikes,12.0,16.0
2nd at Folsom,1,-12.8846153846,-1.5042735042735043,1.691066997518611,San Francisco,19.0,REBALANCE! Remove bikes,12.0,15.0
2nd at Folsom,2,-10.3846153846,-1.7635327635327638,2.1538461538461551,San Francisco,19.0,REBALANCE! Remove bikes,9.0,13.0
2nd at Folsom,3,-10.9615384615,-1.5984615384615388,1.7615384615384624,San Francisco,19.0,REBALANCE! Remove bikes,10.0,13.0
2nd at Folsom,4,-7.84615384615,-1.6538461538461542,1.3276353276353277,San Francisco,19.0,REBALANCE! Remove bikes,7.0,10.0
2nd at Folsom,5,-2.7037037037,-0.76998050682261221,1.0846560846560847,San Francisco,19.0,REBALANCE! Remove bikes,2.0,4.0
2nd at Folsom,6,-1.40740740741,-0.75925925925925908,0.95740740740740748,San Francisco,19.0,REBALANCE! Remove bikes,1.0,3.0
2nd at South Park,0,-2.96153846154,-1.649572649572649,2.2015384615384619,San Francisco,15.0,REBALANCE! Remove bikes,2.0,6.0
2nd at South Park,1,0.115384615385,-1.2766749379652607,1.7027972027972027,San Francisco,15.0,DO NOT REBALANCE!,2.0,2.0
2nd at South Park,2,-1.5,-1.7758620689655173,1.5454545454545454,San Francisco,15.0,DO NOT REBALANCE!,1.0,4.0
2nd at South Park,3,0.807692307692,-1.3531468531468531,1.4006410256410258,San Francisco,15.0,DO NOT REBALANCE!,3.0,1.0
2nd at South Park,4,0.923076923077,-1.6730769230769231,1.7969230769230771,San Francisco,15.0,DO NOT REBALANCE!,3.0,1.0
2nd at South Park,5,1.14814814815,-1.0648148148148149,1.1375661375661374,San Francisco,15.0,REBALANCE! Add bikes,3.0,1.0
2nd at South Park,6,-0.222222222222,-1.1690821256038646,1.5722222222222224,San Francisco,15.0,DO NOT REBALANCE!,1.0,2.0
2nd at Townsend,0,4.46153846154,-2.8063660477453585,2.5384615384615383,San Francisco,27.0,REBALANCE! Add bikes,8.0,2.0
2nd at Townsend,1,5.34615384615,-1.8878205128205123,1.6538461538461542,San Francisco,27.0,REBALANCE! Add bikes,8.0,4.0
2nd at Townsend,2,7.19230769231,-2.8219373219373223,2.5955710955710947,San Francisco,27.0,REBALANCE! Add bikes,11.0,5.0
2nd at Townsend,3,2.34615384615,-3.4615384615384617,3.3356643356643354,San Francisco,27.0,DO NOT REBALANCE!,6.0,1.0
2nd at Townsend,4,4.46153846154,-1.9832775919732444,1.9867374005305036,San Francisco,27.0,REBALANCE! Add bikes,7.0,3.0
2nd at Townsend,5,1.92592592593,-1.1986531986531985,1.2558922558922558,San Francisco,27.0,REBALANCE! Add bikes,4.0,1.0
2nd at Townsend,6,-0.185185185185,-1.6064814814814816,1.2164351851851851,San Francisco,27.0,DO NOT REBALANCE!,2.0,2.0
5th at Howard,0,3.15384615385,-0.85754985754985746,1.0861538461538465,San Francisco,15.0,REBALANCE! Add bikes,5.0,3.0
5th at Howard,1,2.84615384615,-1.5961538461538463,1.2538461538461534,San Francisco,15.0,REBALANCE! Add bikes,5.0,2.0
5th at Howard,2,3.15384615385,-1.632107023411371,1.4461538461538459,San Francisco,15.0,REBALANCE! Add bikes,5.0,2.0
5th at Howard,3,2.65384615385,-1.944168734491315,1.3061538461538462,San Francisco,15.0,REBALANCE! Add bikes,5.0,2.0
5th at Howard,4,2.88461538462,-1.0846153846153845,1.8296703296703298,San Francisco,15.0,REBALANCE! Add bikes,4.0,2.0
5th at Howard,5,0.592592592593,-0.99259259259259258,1.6487867177522348,San Francisco,15.0,DO NOT REBALANCE!,2.0,2.0
5th at Howard,6,1.18518518519,-1.6062378167641325,1.2996632996632997,San Francisco,15.0,DO NOT REBALANCE!,3.0,1.0
Adobe on Almaden,0,-0.125,-0.45833333333333337,0.43928571428571428,San Jose,19.0,DO NOT REBALANCE!,1.0,1.0
Adobe on Almaden,1,0.0869565217391,-0.51003344481605351,0.53209109730848869,San Jose,19.0,DO NOT REBALANCE!,1.0,1.0
Adobe on Almaden,2,-0.44,-0.56000000000000005,0.58634146341463411,San Jose,19.0,DO NOT REBALANCE!,1.0,2.0
Adobe on Almaden,3,0.304347826087,-0.38127090301003347,0.37986270022883295,San Jose,19.0,DO NOT REBALANCE!,1.0,1.0
Adobe on Almaden,4,-0.16,-0.43999999999999995,0.44571428571428573,San Jose,19.0,DO NOT REBALANCE!,1.0,1.0
Adobe on Almaden,5,0.2,-0.48571428571428571,0.61818181818181817,San Jose,19.0,DO NOT REBALANCE!,1.0,1.0
Adobe on Almaden,6,0.0,0.0,0.0,San Jose,19.0,,0.0,0.0
Arena Green / SAP Center,0,-0.136363636364,-0.090909090909090912,0.13636363636363635,San Jose,19.0,REBALANCE! Remove bikes,1.0,1.0
Arena Green / SAP Center,1,0.291666666667,-0.48397435897435903,0.60307017543859653,San Jose,19.0,DO NOT REBALANCE!,1.0,1.0
Arena Green / SAP Center,2,-0.384615384615,-0.40848806366047746,0.42628205128205132,San Jose,19.0,DO NOT REBALANCE!,1.0,1.0
